Filename, RCornea, LCornea, RUpEyelid, LUpEyelid, RLowEyelid, LLowEyelid
insightEBR_frame_390,2117,1895,16793,14220,2062,5852
insightEBR_frame_391,1319,0,14585,12386,4867,5380
insightEBR_frame_392,0,1833,17297,14547,5387,6203
insightEBR_frame_393,0,0,17743,15181,5666,5995
insightEBR_frame_394,0,0,12276,14281,2490,0
insightEBR_frame_395,0,0,14543,15716,2861,0
insightEBR_frame_396,0,0,13839,0,2779,0
insightEBR_frame_397,0,0,11284,0,5065,4959
insightEBR_frame_398,0,0,13376,0,2073,0
insightEBR_frame_399,0,0,11035,11625,2268,0
insightEBR_frame_400,1931,0,17355,9431,4131,0
insightEBR_frame_401,3884,0,9631,0,1899,0
insightEBR_frame_402,0,0,9551,0,1430,0
insightEBR_frame_403,0,0,9481,0,4201,0
insightEBR_frame_404,0,0,22201,0,7402,0
insightEBR_frame_405,0,0,25205,0,2602,0
insightEBR_frame_406,0,0,19799,0,7027,0
insightEBR_frame_407,0,0,20639,0,2709,0
insightEBR_frame_408,0,0,11549,0,2329,0
insightEBR_frame_409,0,0,11008,0,5891,0
insightEBR_frame_410,1427,0,11283,0,2960,0
insightEBR_frame_411,0,0,0,0,6363,0
insightEBR_frame_412,0,844,0,10972,0,3053
insightEBR_frame_413,0,1553,0,11481,3355,5183
insightEBR_frame_414,0,1246,0,11841,4543,0
insightEBR_frame_415,1804,0,10533,11310,4687,0
insightEBR_frame_416,1458,0,11072,0,5226,0
insightEBR_frame_417,0,1451,0,11400,4863,0
insightEBR_frame_418,0,2458,0,12793,3597,0
insightEBR_frame_419,1991,1634,0,11685,4293,0
insightEBR_frame_420,0,969,0,12419,2728,0
insightEBR_frame_421,0,0,9697,12155,1772,0
insightEBR_frame_422,0,0,0,0,0,0
insightEBR_frame_423,0,0,13927,14707,2211,9023
insightEBR_frame_424,0,0,0,12210,7070,6272
insightEBR_frame_425,0,0,10592,15361,2885,0
insightEBR_frame_426,801,0,13271,14674,4031,0
insightEBR_frame_427,1287,0,8332,16623,4318,0
insightEBR_frame_428,1166,0,9795,14152,3958,0
insightEBR_frame_429,0,1107,0,10896,5231,0
insightEBR_frame_430,0,2466,0,17407,4700,4737
insightEBR_frame_431,0,1897,0,11947,5725,5154
insightEBR_frame_432,0,2418,0,11833,5993,5384
insightEBR_frame_433,0,3187,0,13262,4584,5024
insightEBR_frame_434,0,1628,0,10537,5281,5235
insightEBR_frame_435,0,1812,0,11006,0,2450
insightEBR_frame_436,0,1233,0,11920,0,1709
insightEBR_frame_437,0,1955,0,11891,5241,5800
insightEBR_frame_438,0,1282,0,12264,5360,5387
insightEBR_frame_439,0,1535,0,11593,5107,3949
insightEBR_frame_440,0,363,0,10629,1928,5872
insightEBR_frame_441,448,1510,0,11290,2603,4851
insightEBR_frame_442,691,1118,9890,10715,2572,3841
insightEBR_frame_443,0,1644,0,11077,3513,5103
insightEBR_frame_444,0,1855,0,10430,3766,3953
insightEBR_frame_445,0,1389,0,8536,4172,5035
insightEBR_frame_446,0,1588,0,9615,3811,5990
insightEBR_frame_447,0,2282,0,10911,4127,4413
insightEBR_frame_448,0,2199,0,15085,6202,6350
insightEBR_frame_449,0,2581,0,14660,3351,3490
insightEBR_frame_450,0,2896,0,7231,0,3430
insightEBR_frame_451,0,2603,0,11566,6770,0
insightEBR_frame_452,0,2640,0,14286,5451,5022
insightEBR_frame_453,0,2635,0,16007,3398,5254
insightEBR_frame_454,0,1710,0,14684,3122,5118
insightEBR_frame_455,0,1811,0,14487,0,3118
insightEBR_frame_456,0,1921,0,13810,3030,3689
insightEBR_frame_457,0,1692,0,7021,0,2785
insightEBR_frame_458,0,1560,0,5845,0,2980
insightEBR_frame_459,0,1560,0,16676,0,2645
insightEBR_frame_460,0,1638,0,15235,0,2441
insightEBR_frame_461,0,1908,0,13225,0,4945
insightEBR_frame_462,0,3988,0,16212,5510,0
insightEBR_frame_463,0,1828,0,16415,0,5366
insightEBR_frame_464,0,3004,0,8796,0,5051
insightEBR_frame_465,0,3022,0,16492,0,4265
insightEBR_frame_466,0,1467,0,16525,5415,5704
insightEBR_frame_467,0,1433,0,14942,0,5027
insightEBR_frame_468,0,3308,0,16285,0,5950
insightEBR_frame_469,0,2091,0,17283,0,0
insightEBR_frame_470,3883,4045,16931,17832,0,0
insightEBR_frame_471,0,1065,0,15687,0,0
insightEBR_frame_472,0,2037,0,14708,0,0
insightEBR_frame_473,0,1356,0,13445,0,0
insightEBR_frame_474,0,3754,0,14102,0,1621
insightEBR_frame_475,0,2924,0,10982,0,2887
insightEBR_frame_476,0,0,14833,15491,0,4053
insightEBR_frame_477,1277,0,14307,14909,0,3327
insightEBR_frame_478,0,1529,0,12826,0,2325
insightEBR_frame_479,0,1968,0,10755,0,3774
insightEBR_frame_480,1140,2077,0,11032,0,4046
insightEBR_frame_481,0,3099,12113,12376,0,0
insightEBR_frame_482,0,2317,0,12462,0,5073
insightEBR_frame_483,0,1437,0,12488,0,4792
insightEBR_frame_484,0,1592,0,12568,4650,4595
insightEBR_frame_485,0,2524,12665,13018,7189,0
insightEBR_frame_486,0,1423,0,13137,5252,0
insightEBR_frame_487,0,2267,0,12898,0,3944
insightEBR_frame_488,0,2700,12585,12997,6456,0
insightEBR_frame_489,0,2771,0,17440,7170,0
insightEBR_frame_490,0,2833,13316,13371,5008,3408
insightEBR_frame_491,0,3204,0,12922,5747,2912
insightEBR_frame_492,0,3374,0,15449,7823,0
insightEBR_frame_493,0,3555,0,15098,0,0
insightEBR_frame_494,0,3480,0,15603,0,0
insightEBR_frame_495,0,3734,0,15785,0,0
insightEBR_frame_496,0,3503,0,13693,7654,0
insightEBR_frame_497,0,3620,0,13563,0,0
insightEBR_frame_498,0,3730,0,13380,0,0
insightEBR_frame_499,0,3874,0,14367,8433,8072
insightEBR_frame_500,0,3856,0,14826,0,0
insightEBR_frame_501,3836,4048,13907,14638,0,0
insightEBR_frame_502,4146,0,13197,12433,7542,0
insightEBR_frame_503,3814,0,11046,12162,7870,0
insightEBR_frame_504,3555,0,12266,12267,7143,0
insightEBR_frame_505,3740,0,13679,12965,7713,0
insightEBR_frame_506,3613,0,13921,12299,6738,0
insightEBR_frame_507,3316,3533,14040,15760,0,0
insightEBR_frame_508,3297,3469,14429,15540,0,0
insightEBR_frame_509,0,3258,0,15262,0,0
insightEBR_frame_510,3155,3349,13985,14664,6411,0
insightEBR_frame_511,3408,3599,11584,12846,7559,0
